Pokemon_1 ,Type_1,Hp_1,Attack_1,Defense_1,Speed_1,Total_Points_1,Pokemon_2 ,Type_2,Hp_2,Attack_2,Defense_2,Speed_2,Total_Points_2,Winner,Index
Bulbasaur,Grass,45,49,49,45,118,Accelgor,Bug,80,70,40,145,310.5,0,1
Ivysaur,Grass,60,62,63,60,155,Ariados,Bug,70,90,70,40,254.5,0,2
Venusaur,Grass,80,82,83,80,255,Beautifly,Bug,60,70,50,65,224.5,1,3
Mega Venusaur,Grass,80,100,123,80,293,Beedrill,Bug,65,90,40,75,245,1,4
Charmander,Fire,39,52,43,65,189,Blipbug,Bug,25,20,20,45,6,1,5
Charmeleon,Fire,58,64,58,80,245.5,Burmy,Bug,40,29,45,36,22,1,6
Charizard,Fire,78,84,78,100,328.75,Butterfree,Bug,60,45,50,70,57,1,7
Mega Charizard X,Fire,78,130,111,100,349.5,Buzzwole,Bug,107,139,139,79,204,1,8
Mega Charizard Y,Fire,78,104,78,100,351.25,Cascoon,Bug,50,35,55,15,-53,1,9
Squirtle,Water,44,48,65,43,170,Caterpie,Bug,45,30,35,45,107,1,10
Wartortle,Water,59,63,80,58,178,Charjabug,Bug,57,82,95,36,207,0,11
Blastoise,Water,79,83,100,78,310,Combee,Bug,30,30,42,70,89,1,12
Mega Blastoise,Water,79,103,120,78,275,Crustle,Bug,70,105,125,45,139,1,13
Caterpie,Bug,45,30,35,45,110,Cutiefly,Bug,40,45,40,84,194,0,14
Metapod,Bug,50,20,55,30,120,Dottler,Bug,50,35,80,30,155,0,15
Butterfree,Bug,60,45,50,70,170.5,Durant,Bug,58,109,112,109,365.5,0,16
Weedle,Bug,40,35,30,50,130,Dustox,Bug,60,50,70,65,227.5,0,17
Kakuna,Bug,45,25,50,35,122.5,Dwebble,Bug,50,65,85,55,230,0,18
Beedrill,Bug,65,90,40,75,202.5,Escavalier,Bug,70,135,105,20,285,0,19
Mega Beedrill,Bug,65,150,40,145,355,Forretress,Bug,75,90,140,40,270,1,20
Pidgey,Normal,40,45,40,56,142.5,Galvantula,Bug,70,77,60,108,270,0,21
Pidgeotto,Normal,63,60,55,71,189,Genesect,Bug,71,120,95,99,355,0,22
Pidgeot,Normal,83,80,75,101,276.5,Golisopod,Bug,75,125,140,40,300,0,23
Mega Pidgeot,Normal,83,80,80,121,333,Grubbin,Bug,47,62,45,46,120,1,24
Rattata,Normal,30,56,35,72,68,Heracross,Bug,80,125,75,85,309,0,25
Alolan Rattata,Dark,30,56,35,72,99,Illumise,Bug,65,47,75,85,216,0,26
Raticate,Normal,55,81,60,97,246,Joltik,Bug,50,47,50,65,131,1,27
Alolan Raticate,Dark,75,71,70,77,243,Kakuna,Bug,45,25,50,35,84,1,28
Spearow,Normal,40,60,30,70,162.5,Karrablast,Bug,50,75,45,60,170,0,29
Fearow,Normal,65,90,65,100,307.5,Kricketot,Bug,37,25,41,25,38,1,30
Ekans,Poison,35,60,44,55,151.5,Kricketune,Bug,77,85,51,65,218,0,31
Arbok,Poison,60,95,69,80,261.5,Larvesta,Bug,55,85,55,60,160,1,32
Pikachu,Electric,35,55,40,90,117,Leavanny,Bug,75,103,80,92,322.5,0,33
Partner Pikachu,Electric,45,80,50,120,260,Ledian,Bug,55,35,50,85,65,1,34
Raichu,Electric,60,90,55,110,295,Ledyba,Bug,40,20,30,55,-35,1,35
Alolan Raichu,Electric,60,85,50,110,245,Masquerain,Bug,70,60,62,80,102,1,36
Sandshrew,Ground,50,75,85,40,100,Mega Beedrill,Bug,65,150,40,145,325,0,37
Alolan Sandshrew,Ice,50,75,90,40,162.5,Mega Heracross,Bug,80,185,115,75,380,0,38
Sandslash,Ground,75,100,110,65,195,Mega Pinsir,Bug,65,155,120,105,445,0,39
Alolan Sandslash,Ice,75,100,120,65,285,Mega Scizor,Bug,70,150,140,75,385,0,40
Nidoranâ™€,Poison,55,47,52,41,185,Metapod,Bug,50,20,55,30,108,1,41
Nidorina,Poison,70,62,67,56,208,Mothim,Bug,70,94,50,66,218,0,42
Nidoqueen,Poison,90,92,87,76,322.5,Nincada,Bug,31,45,90,40,160,1,43
Nidoranâ™‚,Poison,46,57,40,50,148,Ninjask,Bug,61,90,45,160,299,0,44
Nidorino,Poison,61,72,57,65,232.5,Orbeetle,Bug,60,45,110,90,233,0,45
Nidoking,Poison,81,102,77,85,310,Paras,Bug,35,70,55,25,-19,1,46
Clefairy,Fairy,70,45,48,35,150.5,Parasect,Bug,60,95,80,30,220,0,47
Clefable,Fairy,95,70,73,60,229.5,Pheromosa,Bug,71,137,37,151,256,0,48
Vulpix,Fire,38,41,40,65,151.5,Pineco,Bug,50,65,90,15,138,1,49
Alolan Vulpix,Ice,38,41,40,65,121.5,Pinsir,Bug,65,125,100,85,334,0,50
Ninetales,Fire,73,76,75,100,296.5,Ribombee,Bug,60,55,60,124,147,1,51
Alolan Ninetales,Ice,73,67,75,109,306.5,Scatterbug,Bug,38,35,40,35,81,1,52
Jigglypuff,Normal,115,45,20,20,135,Scizor,Bug,70,130,100,65,342.5,0,53
Wigglytuff,Normal,140,70,45,45,250,Scolipede,Bug,60,100,89,112,291,0,54
Zubat,Poison,40,45,35,55,147.5,Scyther,Bug,70,110,80,105,320,0,55
Golbat,Poison,75,80,70,90,301.75,Sewaddle,Bug,45,53,70,42,50,1,56
Oddish,Grass,45,50,55,30,90,Shedinja,Bug,1,90,45,40,176,0,57
Gloom,Grass,60,65,70,40,195,Shelmet,Bug,50,40,85,25,167.5,1,58
Vileplume,Grass,75,80,85,50,280,Shuckle,Bug,20,10,230,5,185,1,59
Paras,Bug,35,70,55,25,115,Silcoon,Bug,50,35,55,15,85,1,60
Parasect,Bug,60,95,80,30,221,Spewpa,Bug,45,22,60,29,61,1,61
Venonat,Bug,60,55,50,45,180,Spinarak,Bug,40,60,40,30,142.5,1,62
Venomoth,Bug,70,65,60,90,270,Surskit,Bug,40,30,32,65,102,1,63
Diglett,Ground,10,55,25,95,122,Swadloon,Bug,55,63,90,42,236.25,0,64
Alolan Diglett,Ground,10,55,30,90,162.5,Venipede,Bug,30,45,59,57,136,1,65
Dugtrio,Ground,35,100,50,120,240,Venomoth,Bug,70,65,60,90,185,1,66
Alolan Dugtrio,Ground,35,100,60,110,277.5,Venonat,Bug,60,55,50,45,110,1,67
Meowth,Normal,40,45,35,90,130,Vespiquen,Bug,70,80,102,40,247,0,68
Alolan Meowth,Dark,40,35,35,90,60,Vikavolt,Bug,77,70,90,43,245,0,69
Galarian Meowth,Steel,50,65,55,40,184,Vivillon,Bug,80,52,50,89,206,0,70
